일자,계정과목,거래내용,거래처,수입금액,수입부가세,비용금액,비용부가세,자산증감금액,자산부가세,사업용여부,비고
2026-03-08,소모품비,교보문고 결제,교보문고,0,0,12000,1091,0,0,사업용,개발 서적 구매
2026-03-12,광고선전비,네이버 검색광고 결제,네이버 검색광고,0,0,350000,31818,0,0,사업용,
2026-03-14,임차료,패스트파이브 삼성 결제,패스트파이브 삼성,0,0,850000,77273,0,0,사업용,코워킹스페이스 월세
2026-03-22,기타 경비,인프런 결제,인프런,0,0,45000,4091,0,0,사업용,Spring Security 강좌
2026-01-05,접대비,스타벅스 역삼점 결제,스타벅스 역삼점,0,0,4500,409,0,0,사업용,
2026-01-12,지급수수료,JetBrains 결제,JetBrains,0,0,55000,5000,0,0,사업용,
2026-01-20,지급수수료,Amazon Web Services 결제,Amazon Web Services,0,0,132000,12000,0,0,사업용,
2026-02-03,여비교통비,카카오택시 결제,카카오택시,0,0,15000,1364,0,0,사업용,
2026-02-10,소모품비,알파문구 결제,알파문구,0,0,89000,8091,0,0,사업용,
2026-02-18,고정자산 매입,Apple Store 결제,Apple Store,0,0,0,0,2200000,200000,사업용,MacBook Pro M4 Max
2026-02-25,접대비,고기리막국수 결제,고기리막국수,0,0,45000,4091,0,0,사업용,클라이언트 미팅
2026-03-02,지급수수료,Amazon Web Services 결제,Amazon Web Services,0,0,132000,12000,0,0,사업용,
2026-03-05,차량유지비,GS칼텍스 삼성점 결제,GS칼텍스 삼성점,0,0,68000,6182,0,0,사업용,
2026-03-10,매출,위시켓 용역대금 입금,위시켓 용역대금 입금,5500000,500000,0,0,0,0,사업용,웹개발 외주 프로젝트
2026-03-18,여비교통비,카카오택시 결제,카카오택시,0,0,22000,2000,0,0,사업용,클라이언트 미팅 이동
2026-03-19,지급수수료,Figma 결제,Figma,0,0,156000,14182,0,0,사업용,Figma Professional 연간
2026-03-20,접대비,투썸플레이스 삼성점 결제,투썸플레이스 삼성점,0,0,8500,773,0,0,사업용,거래처 미팅 커피
2026-03-21,지급수수료,Amazon Web Services 결제,Amazon Web Services,0,0,132000,12000,0,0,사업용,
2026-03-23,차량유지비,SK에너지 역삼점 결제,SK에너지 역삼점,0,0,75000,6818,0,0,사업용,
2026-03-24,매출,크몽 웹개발 대금,크몽 웹개발 대금,3300000,300000,0,0,0,0,사업용,프론트엔드 외주
2026-03-26,지급수수료,세무법인 한길 결제,세무법인 한길,0,0,180000,16364,0,0,사업용,3월 기장료
2026-03-25,소모품비,다이소 역삼점 결제,다이소 역삼점,0,0,25000,2273,0,0,사업용,사무용품 구매
